channel,First touch,Last touch,Time decay,Markov,Shapley,touchpoints,users_reached,converting_users,conv_rate_pct,share_of_touchpoints_pct
affiliate,7.71513353115727,10.979228486646884,8.93280095265362,10.587264593701235,10.7683,3849,3253,118,3.6274208422994154,7.383039533500854
direct visit,30.86053412462908,33.23442136498516,30.64084044094177,22.97256091042765,22.8488,14714,7957,266,3.342968455448033,28.223965626378682
display,2.967359050445104,2.967359050445104,3.423378993496226,5.268909458011282,4.8791,1898,1745,51,2.9226361031518624,3.6406882396946267
email,19.584569732937684,17.50741839762611,15.726261835251524,16.968573404145708,16.7903,8637,5943,184,3.0960794211677602,16.567241478526075
online video,0.2967359050445104,0.0,0.8018808941782852,1.961463757878231,1.9162,756,734,18,2.452316076294278,1.4501371492145092
organic search,13.056379821958458,10.385756676557865,13.691434834266289,14.369866819244875,14.658,7300,5298,164,3.095507738769347,14.002647075748568
paid search,20.474777448071215,17.804154302670625,19.992514898502513,18.79469416421485,18.5061,11479,7014,208,2.9654975762760194,22.018682983906544
paid social media,5.044510385756676,7.121661721068249,6.790887150709776,9.076666892376174,9.6332,3500,3025,104,3.43801652892562,6.713597913030135
